category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Doogee",1,1.0,1.0,1299.0,7.147962830593281
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Esperanza",17,11.0,,499.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Fanatec",1,1.0,,14999.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Flydigi",7,6.0,5.0,1299.0,25.742857142857144
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори GamePro",13,13.0,8.0,499.0,29.87471892065532
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори GameSir",11,11.0,4.0,1149.0,19.066397399452033
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Gelius",1,1.0,,148.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Gembird",17,15.0,,186.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Gemix",1,1.0,1.0,219.0,21.50537634408602
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Gen Game",4,4.0,3.0,289.0,17.428571428571427
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Genius",1,,,,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Havit",7,6.0,,405.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Hoco",4,4.0,2.0,533.5,26.682862566223758
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Hori",27,15.0,,849.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Jite",1,1.0,1.0,349.0,50.0
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Joy-Con",5,4.0,,2049.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори King",1,1.0,,259.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Kronos",1,1.0,1.0,180.0,33.333333333333336
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Lesko",7,7.0,6.0,159.0,16.819623361679437
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Logitech",21,15.0,1.0,8370.0,23.078698361412417
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори MGC",4,4.0,,273.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Madcatz",2,,,,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Marvo",5,5.0,,701.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Memo",3,3.0,3.0,499.0,21.88868042526579
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Microsoft",42,37.0,2.0,2224.5,49.04809619238477
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Mocute",2,2.0,,748.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори NN",19,19.0,2.0,390.0,12.76270772238514
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори NYKO",1,1.0,,1299.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Nacon",4,4.0,,1344.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Nintendo",12,12.0,,1924.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Norim",1,1.0,,272.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори OMEGA",2,2.0,,465.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Ox ox King",1,1.0,1.0,291.0,16.857142857142858
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори PRO",2,2.0,,214.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори PRODA",2,2.0,1.0,474.0,37.625
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори PXN",5,5.0,,824.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори PlayStation",23,9.0,1.0,1999.0,33.35186214563647
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Prologix",1,1.0,,347.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Pubg Games",2,2.0,,242.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Razer",21,19.0,4.0,4599.0,40.00955789935425
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Rock",1,1.0,,292.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори SEGA",1,1.0,,171.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори SPEEDLINK",1,1.0,,2897.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори SR",1,1.0,1.0,269.0,20.178041543026705
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Shinecon",6,6.0,4.0,386.5,23.910340817185904
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори ShirLin",2,2.0,,988.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Steelseries",3,2.0,,2749.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Sven",10,10.0,,883.5,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Taurus",1,1.0,,299.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Terios",3,3.0,2.0,449.0,15.12004008016032
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Thrustmaster",20,20.0,3.0,9696.0,9.971214738054117
